Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
603826,坤彩科技,2026-08-06,17.22,-0.81%,量能: 放量 (2.50X) | 形态: 10日内有涨停 | 趋势: 高于MA20,16.23,25.46,2.50X
002383,合众思壮,2026-08-14,7.03,-0.28%,趋势: 高于MA20,6.80,7.10,0.85X
600312,平高电气,2026-08-06,20.46,-2.29%,趋势: 高于MA20,18.91,19.22,0.72X
000548,湖南投资,2026-08-06,4.39,0.46%,"形态: 两连阴 (-1.13%, -0.23%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",4.22,4.48,0.70X
002633,申科股份,2026-08-06,14.76,0.27%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),13.69,15.93,0.75X
000957,中通客车,2026-08-28,10.22,-0.58%,"形态: 两连阴 (-0.86%, -0.48%)",10.32,10.01,1.12X
603010,万盛股份,2026-08-06,10.79,1.70%,动量: 突破转强 (阳线上穿5/10),11.10,13.67,0.85X
605222,起帆电缆,2026-08-14,19.95,-0.05%,趋势: 高于MA20,18.88,23.00,0.73X
600398,海澜之家,2026-08-06,6.06,-0.16%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-3.31%, -0.98%) | 趋势: 高于MA20",6.00,5.81,0.76X
603626,科森科技,2026-08-28,19.29,-2.77%,形态: 10日内有涨停 | 趋势: 高于MA20,16.94,17.48,0.65X
600372,中航机载,2026-08-14,11.26,0.81%,趋势: 多头排列 (5>20>60),11.31,11.18,0.89X
605300,佳禾食品,2026-08-28,9.85,1.86%,"形态: 两连阴 (-0.41%, -1.12%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",9.79,9.34,1.21X
603900,莱绅通灵,2026-08-28,7.85,9.94%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),6.29,5.97,0.78X
603103,横店影视,2026-08-06,15.11,-0.66%,趋势: 高于MA20,14.07,17.00,0.92X
601900,南方传媒,2026-08-06,11.79,-0.42%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,11.69,11.68,1.09X
000037,深南电A,2026-08-06,10.07,-0.40%,形态: 10日内有涨停 | 趋势: 高于MA20,9.29,9.93,0.69X
002852,道道全,2026-08-06,7.77,0.65%,"形态: 两连阴 (-0.89%, -1.03%) | 趋势: 高于MA20",7.54,7.73,1.01X
002395,双象股份,2026-08-06,12.35,0.16%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),11.89,13.45,0.78X
000096,广聚能源,2026-08-06,7.76,0.52%,"形态: 两连阴 (-1.64%, -1.28%) | 趋势: 高于MA20",7.61,7.80,0.93X
600219,南山铝业,2026-08-28,4.88,1.04%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),4.83,4.52,0.98X
000713,国投丰乐,2026-08-06,5.88,1.73%,"量能: 放量 (2.02X) | 形态: 两连阴 (-0.85%, -0.34%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",5.67,5.73,2.02X
002152,广电运通,2026-08-06,10.38,0.19%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),10.08,10.21,1.16X
002532,天山铝业,2026-08-14,13.13,-0.45%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,13.12,12.97,0.62X
601098,中南传媒,2026-08-06,10.57,-1.67%,"形态: 两连阴 (-1.44%, -1.92%) | 趋势: 高于MA20",10.33,10.58,0.73X
600858,银座股份,2026-08-28,4.99,2.04%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),4.88,4.73,1.26X
