代码,信号日期,信号价格,当前价格,当前收益%,最高收益%,是否获利,持有天数,触发条件
605007,2026-07-15,15.69,15.38,-1.98,6.88,0,22,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605007,2026-08-06,16.37,15.38,-6.05,2.44,0,6,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603214,2026-07-15,12.83,13.4,4.44,4.99,1,17,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600721,2026-07-15,7.57,13.81,82.43,91.55,1,22,量能: 放量 (1.79X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600721,2026-08-06,9.58,13.81,44.15,51.36,1,6,趋势: 多头排列 (5>20>60) | 量能: 放量 (3.07X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002611,2026-07-15,15.02,15.46,2.93,10.45,1,22,"形态: 两连阴 (-5.08%, -7.43%)"
002611,2026-08-06,16.19,15.46,-4.51,0.49,0,6,趋势: 高于MA20
002370,2026-07-15,5.55,6.03,8.65,9.37,1,22,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002370,2026-08-06,5.13,6.03,17.54,18.32,1,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002350,2026-07-13,15.07,16.37,8.63,8.63,1,18,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000633,2026-07-15,4.99,5.19,4.01,7.21,1,22,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000633,2026-08-06,5.2,5.19,-0.19,2.88,0,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605366,2026-08-06,8.47,8.31,-1.89,1.06,0,6,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002799,2026-07-15,6.27,6.79,8.29,10.53,1,22,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002799,2026-08-06,6.6,6.79,2.88,5.0,1,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000850,2026-07-15,3.94,4.08,3.55,4.82,1,22,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000850,2026-08-06,4.1,4.08,-0.49,0.73,0,6,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002297,2026-07-15,21.43,18.96,-11.53,-6.49,0,22,"形态: 两连阴 (-9.99%, -1.48%)"
002297,2026-08-06,18.72,18.96,1.28,2.56,1,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002907,2026-07-15,15.11,15.26,0.99,0.99,1,22,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002283,2026-07-13,8.52,8.92,4.69,5.4,1,18,形态: 10日内有涨停
002026,2026-08-06,10.36,10.49,1.25,3.57,1,6,"形态: 两连阴 (-0.19%, -0.68%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
603028,2026-08-06,6.68,6.92,3.59,5.84,1,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000695,2026-08-06,12.75,14.31,12.24,12.86,1,6,趋势: 高于MA20
002892,2026-07-15,9.09,9.44,3.85,8.8,1,22,"形态: 两连阴 (-1.52%, -0.33%)"
002892,2026-08-06,9.67,9.44,-2.38,0.31,0,6,趋势: 高于MA20
002033,2026-07-15,8.4,8.66,3.1,4.64,1,17,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002196,2026-08-06,11.16,11.15,-0.09,1.61,0,6,趋势: 高于MA20
603095,2026-08-06,13.1,14.94,14.05,14.05,1,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002757,2026-07-13,16.88,17.26,2.25,3.73,1,18,形态: 10日内有涨停
002228,2026-07-15,3.13,3.07,-1.92,1.28,0,22,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002228,2026-08-06,3.12,3.07,-1.6,1.6,0,6,"形态: 两连阴 (-0.63%, -0.64%) | 趋势: 高于MA20"
600100,2026-08-06,7.15,6.92,-3.22,-0.7,0,6,趋势: 高于MA20
002511,2026-07-15,7.25,7.03,-3.03,3.45,0,22,量能: 放量 (1.70X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002511,2026-08-06,7.24,7.03,-2.9,1.38,0,6,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.34%, -0.41%) | 趋势: 高于MA20"
